YES;NO
VALENTE Valeria;
VALIANTE Simone;
VAZIO Franco;
VELO Silvia;
VENITTELLI Laura;
VENTRICELLI Liliana;
VERINI Walter;
VICO Ludovico;
VILLECCO CALIPARI Rosa Maria;
ZAMPA Sandra;
ZAN Alessandro;
ZANETTI Veronica;
ZANIN Giorgio;
ZARDINI Diego;
